Input Size,Bubble,Selection,Insertion,Merge,Quick,Heap
1000,0,0,0,0,0,0
2000,17.818,2.977,0.982,0,0,0
3000,17.914,2.008,6.514,1.999,1.028,0
4000,21.966,8.944,6.435,0,0,0
5000,39.464,7.965,9.767,0,0,0
10000,162.991,45.844,72.386,5.169,0,2.054
20000,795.318,208.918,150.17,0,0,0
40000,3683.6,875.435,581.352,0,18.556,1.378
80000,20775.8,9698.3,4413.5,31.736,15.996,31.506
160000,94155.4,37039.7,15705.1,63.467,15.674,62.797
250000,219523,83054.2,37803.2,110.964,32.158,94.876
500000,884189,320714,146612,204.891,100.838,167.318
